Date,Open,High,Low,Close,Adj Close,Volume,tickt,updated_at
2017-07-19,166.330002,167.399994,164.610001,165.100006,164.954773,17176100,NVDA,2017-10-21 04:28:13
2017-07-20,165.929993,167.509995,163.910004,167.5,167.352661,17489900,NVDA,2017-10-21 04:28:13
2017-07-21,166.669998,169.300003,166.089996,168.100006,167.952133,16208300,NVDA,2017-10-21 04:28:13
2017-07-24,168.389999,168.779999,165.720001,166.149994,166.003845,16313100,NVDA,2017-10-21 04:28:13
2017-07-25,165.220001,165.929993,163.580002,165.350006,165.204559,12413900,NVDA,2017-10-21 04:28:13
2017-07-26,167.679993,169.929993,165.850006,167.259995,167.112869,16010100,NVDA,2017-10-21 04:28:13
2017-07-27,168.270004,168.740005,157.559998,161.740005,161.597733,19571400,NVDA,2017-10-21 04:28:13
2017-07-28,160.289993,165.380005,159.279999,164.389999,164.245392,12833700,NVDA,2017-10-21 04:28:13
2017-07-31,164.940002,166.399994,160.619995,162.509995,162.36705,13991800,NVDA,2017-10-21 04:28:13
2017-08-01,162.130005,164.559998,161.0,164.490005,164.345306,10784600,NVDA,2017-10-21 04:28:13
2017-08-02,165.75,165.910004,161.270004,164.389999,164.245392,11961100,NVDA,2017-10-21 04:28:13
2017-08-03,164.369995,166.630005,163.679993,166.479996,166.333557,11060500,NVDA,2017-10-21 04:28:13
2017-08-04,167.399994,170.070007,166.479996,167.210007,167.062927,14727400,NVDA,2017-10-21 04:28:13
2017-08-07,168.389999,172.369995,168.0,172.350006,172.198395,17935300,NVDA,2017-10-21 04:28:13
2017-08-08,173.889999,174.559998,168.710007,170.300003,170.150192,18883400,NVDA,2017-10-21 04:28:13
2017-08-09,168.429993,172.210007,167.669998,172.110001,171.958603,13269600,NVDA,2017-10-21 04:28:13
2017-08-10,172.160004,172.660004,164.330002,164.740005,164.595093,33202200,NVDA,2017-10-21 04:28:13
2017-08-11,157.139999,159.0,152.910004,155.960007,155.822815,37429900,NVDA,2017-10-21 04:28:13
2017-08-14,159.669998,168.550003,159.199997,168.399994,168.251862,31818000,NVDA,2017-10-21 04:28:13
2017-08-15,168.610001,169.669998,165.589996,166.979996,166.833115,19113300,NVDA,2017-10-21 04:28:13
2017-08-16,167.589996,168.539993,163.839996,165.149994,165.004715,14915800,NVDA,2017-10-21 04:28:13
2017-08-17,164.809998,165.5,161.380005,161.470001,161.327972,13136100,NVDA,2017-10-21 04:28:13
2017-08-18,163.669998,164.360001,159.639999,161.5,161.357941,15030100,NVDA,2017-10-21 04:28:13
2017-08-21,162.490005,162.949997,157.369995,159.149994,159.009995,15591800,NVDA,2017-10-21 04:28:13
2017-08-22,160.490005,162.789993,159.710007,162.550003,162.550003,11261400,NVDA,2017-10-21 04:28:13
2017-08-23,161.199997,166.25,160.850006,165.800003,165.800003,14488000,NVDA,2017-10-21 04:28:13
2017-08-24,167.100006,167.279999,164.119995,165.190002,165.190002,11742500,NVDA,2017-10-21 04:28:13
2017-08-25,166.169998,166.580002,163.550003,163.809998,163.809998,8930000,NVDA,2017-10-21 04:28:13
2017-08-28,164.580002,165.100006,162.330002,164.970001,164.970001,9737400,NVDA,2017-10-21 04:28:13
2017-08-29,162.589996,165.580002,162.259995,164.699997,164.699997,8102400,NVDA,2017-10-21 04:28:13
2017-08-30,165.5,166.130005,164.270004,165.679993,165.679993,9610000,NVDA,2017-10-21 04:28:13
2017-08-31,166.5,169.600006,166.199997,169.440002,169.440002,15317100,NVDA,2017-10-21 04:28:13
2017-09-01,169.949997,171.899994,169.600006,170.460007,170.460007,11135800,NVDA,2017-10-21 04:28:13
2017-09-05,168.380005,168.580002,163.559998,165.910004,165.910004,17384100,NVDA,2017-10-21 04:28:13
2017-09-06,167.240005,167.800003,164.399994,165.809998,165.809998,9941800,NVDA,2017-10-21 04:28:13
2017-09-07,166.490005,167.889999,164.949997,166.580002,166.580002,8821700,NVDA,2017-10-21 04:28:13
2017-09-08,166.110001,166.710007,162.710007,163.690002,163.690002,12471400,NVDA,2017-10-21 04:28:13
2017-09-11,165.539993,169.429993,165.320007,169.0,169.0,14186100,NVDA,2017-10-21 04:28:13
2017-09-12,170.0,170.0,166.970001,169.610001,169.610001,10287200,NVDA,2017-10-21 04:28:13
2017-09-13,168.589996,171.539993,167.279999,170.369995,170.369995,14524000,NVDA,2017-10-21 04:28:13
2017-09-14,168.789993,172.559998,167.800003,169.399994,169.399994,12842800,NVDA,2017-10-21 04:28:13
2017-09-15,172.860001,180.110001,172.649994,180.110001,180.110001,34119800,NVDA,2017-10-21 04:28:13
2017-09-18,185.139999,191.199997,184.860001,187.550003,187.550003,42111500,NVDA,2017-10-21 04:28:13
2017-09-19,185.509995,189.850006,184.619995,187.350006,187.350006,21857000,NVDA,2017-10-21 04:28:13
2017-09-20,187.5,189.419998,184.210007,185.839996,185.839996,18123000,NVDA,2017-10-21 04:28:13
2017-09-21,181.639999,182.699997,177.610001,180.759995,180.759995,26890000,NVDA,2017-10-21 04:28:13
2017-09-22,180.300003,182.309998,178.600006,179.0,179.0,12280800,NVDA,2017-10-21 04:28:13
2017-09-25,177.75,177.800003,170.160004,171.0,171.0,21864500,NVDA,2017-10-21 04:28:13
2017-09-26,176.449997,178.679993,170.350006,171.960007,171.960007,28140500,NVDA,2017-10-21 04:28:13
2017-09-27,175.619995,176.270004,172.75,175.729996,175.729996,17843000,NVDA,2017-10-21 04:28:13
2017-09-28,176.020004,176.179993,173.759995,175.679993,175.679993,10881100,NVDA,2017-10-21 04:28:13
2017-09-29,179.080002,179.729996,177.25,178.770004,178.770004,15477300,NVDA,2017-10-21 04:28:13
2017-10-02,180.800003,181.979996,177.0,179.0,179.0,12587000,NVDA,2017-10-21 04:28:13
2017-10-03,179.25,180.580002,177.580002,179.369995,179.369995,9758300,NVDA,2017-10-21 04:28:13
2017-10-04,179.619995,181.770004,178.139999,180.869995,180.869995,10696200,NVDA,2017-10-21 04:28:13
2017-10-05,181.860001,182.0,179.559998,180.770004,180.770004,10934100,NVDA,2017-10-21 04:28:13
2017-10-06,179.649994,181.839996,179.0,181.300003,181.300003,7970000,NVDA,2017-10-21 04:28:13
